Name,Agency product number,Active substance,International non-proprietary name (INN) or common name,Therapeutic area (MeSH),Anatomical therapeutic chemical (ATC) code,Generic,Marketing-authorisation holder,Revision,Date of issue of marketing authorisation valid throughout the European Union,Contact address,Additional monitoring,Orphan,Conditional approval,Biosimilar,Marketing-autorisation applicant,Date of opinion,Exceptional circumstances,Date of refusal of marketing authorisation,Countries
Levetiracetam Teva,EMEA/H/C/002316,levetiracetam,levetiracetam,Epilepsy,N03AX14,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva B.V.,13,25/08/2011,"Swensweg 5
2031GA Haarlem
The Netherlands",,,,,,,,,The Netherlands
Zebinix,EMEA/H/C/000988,eslicarbazepine acetate,eslicarbazepine acetate,Epilepsy,N03AF04,,"BIAL - Portela & Ca, S.A.",24,20/04/2009,"BIAL - Portela & Ca, S.A.
A Avenida da Siderurgia Nacional
PT-4745-457 S. Mamede do Coronado
Portugal",,,,,,,,,Portugal
Xalkori,EMEA/H/C/002489,crizotinib,crizotinib,"Carcinoma, Non-Small-Cell Lung",L01XE16,,Pfizer Europe MA EEIG,24,22/10/2012,"Boulevard de la Plaine 17
1050 Bruxelles
Belgium","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Belgium
Halaven,EMEA/H/C/002084,Eribulin,eribulin,"Breast Neoplasms
Liposarcoma",L01XX41,,Eisai GmbH,17,16/03/2011,,,,,,,,,,
Exforge HCT,EMEA/H/C/001068,"Amlodipine besylate
valsartan
hydrochlorothiazide",amlodipine besylate / valsartan / hydrochlorothiazide,Hypertension,C09DX01,,Novartis Europharm Limited,14,15/10/2009,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Dafiro HCT,EMEA/H/C/001160,"Amlodipine besylate
valsartan
hydrochlorothiazide",amlodipine besylate / valsartan / hydrochlorothiazide,Hypertension,C09DX01,,Novartis Europharm Limited,14,03/11/2009,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Exforge,EMEA/H/C/000716,"amlodipine (as besylate)
valsartan",amlodipine / valsartan,Hypertension,C09DB01,,Novartis Europharm Limited,22,16/01/2007,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Kanuma,EMEA/H/C/004004,sebelipase alfa,sebelipase alfa,"Lipid Metabolism, Inborn Errors",A16,,Alexion Europe SAS,2,27/08/2015,"1-15 avenue Edouard Belin
92500 Rueil Malmaison
France","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,France
Dafiro,EMEA/H/C/000776,"amlodipine
valsartan",amlodipine / valsartan,Hypertension,C09DB01,,Novartis Europharm Limited,24,15/01/2007,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Coagadex,EMEA/H/C/003855,Human coagulation factor X,human coagulation factor X,Factor X Deficiency,B02BD13,,Bio Products Laboratory Limited,1,15/03/2016,"Dagger Lane
Elstree
Hertfordshire WD6 3BX
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Rolufta Ellipta (previously Rolufta),EMEA/H/C/004654,umeclidinium bromide,umeclidinium,"Pulmonary Disease, Chronic Obstructive",R03BB07,,GlaxoSmithKline Trading Services Limited,3,19/03/2017,"Currabinny
Carrigaline
County Cork
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Ireland
Ionsys,EMEA/H/C/002715,fentanyl hydrochloride,fentanyl,"Pain, Postoperative",N02AB03,,Incline Therapeutics Europe Ltd,2,18/11/2015,"21 St Thomas Street
Bristol
BS1 6JS
United Kingdom",,,,,,,,,United Kingdom
Venclyxto,EMEA/H/C/004106,Venetoclax,venetoclax,"Leukemia, Lymphocytic, Chronic, B-Cell",L01XX52,,AbbVie Deutschland GmbH Co. KG,6,04/12/2016,"Knollstrasse
67061 Ludwigshafen
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,Germany
Laventair Ellipta (previously Laventair),EMEA/H/C/003754,"umeclidinium bromide
vilanterol",umeclidinium bromide / vilanterol,"Pulmonary Disease, Chronic Obstructive",R03AL03,,Glaxo Group Ltd,7,07/05/2014,"Glaxo Wellcome House
Berkeley Avenue
Greenford
Middlesex UB6 0NN
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Liprolog,EMEA/H/C/000393,insulin lispro,insulin lispro,Diabetes Mellitus,A10AC04,,Eli Lilly Nederland B.V.,24,31/07/2001,"Eli Lilly Nederland BV
Grootslag 1-5,
NL-3991 RA Houten
The Netherlands",,,,,,,,,The Netherlands
Zytiga,EMEA/H/C/002321,abiraterone acetate,abiraterone,Prostatic Neoplasms,L02BX03,,Janssen-Cilag International N.V.,20,04/09/2011,"Turnhoutseweg 30
BE-2340 Beerse
Belgium",,,,,,,,,Belgium
Rivastigmine 1 A Pharma,EMEA/H/C/001181,rivastigmine,rivastigmine,"Alzheimer Disease
Dementia
Parkinson Disease",N06DA03,,1 A Pharma GmbH,9,10/12/2009,"Keltenring 1 + 3
D-82041 Oberhaching
Germany",,,,,,,,,Germany
ViraferonPeg,EMEA/H/C/000329,peginterferon alfa-2b,peginterferon alfa-2b,"Hepatitis C, Chronic",L03AB10,,Merck Sharp Dohme Ltd ,36,28/05/2000,"Merck Sharp Dohme Ltd
Hertford Road
Hoddesdon
Hertfordshire
EN11 9BU
United Kingdom",,,,,,,,,United Kingdom
Humalog,EMEA/H/C/000088,insulin lispro,insulin lispro,Diabetes Mellitus,A10AC04,,Eli Lilly Nederland B.V.,29,29/04/1996,"Papendorpseweg 83
3528 BJ Utrecht
The Netherlands",,,,,,,,,The Netherlands
Lucentis,EMEA/H/C/000715,ranibizumab,ranibizumab,"Wet Macular Degeneration
Macular Edema
Myopia, Degenerative
Diabetes Complications",S01LA04,,Novartis Europharm Limited,30,21/01/2007,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Kyntheum,EMEA/H/C/003959,brodalumab,brodalumab,Psoriasis,L04AC12,,LEO Pharma A/S,2,16/07/2017,"Industriparken 55
DK-2750 Ballerup
Denmark","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Denmark
Atazanavir Mylan,EMEA/H/C/004048,atazanavir sulfate,atazanavir,HIV Infections,J05AE08,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S.,4,21/08/2016,"117 Allée des Parcs
69800 Saint Priest
France",,,,,,,,,France
Cuprior,EMEA/H/C/004005,Trientine tetrahydrochloride,trientine,Hepatolenticular Degeneration,A16AX,,GMP-Orphan SA,1,04/09/2017,"Pepiniere Paris Sante Cochin
27-29 rue du Faubourg Saint-Jacques
75014 Paris
France",,,,,,,,,France
Lemtrada,EMEA/H/C/003718,alemtuzumab,alemtuzumab,Multiple Sclerosis,L04AA34,,Sanofi Belgium,6,11/09/2013,"Leonardo Da Vincilaan 19
B-1831 Diegem
Belgium",,,,,,,,,Belgium
Dexdor,EMEA/H/C/002268,dexmedetomidine hydrochloride,dexmedetomidine,Conscious Sedation,N05CM18,,Orion Corporation,9,15/09/2011,"Orionintie 1
FI-02200 Espoo
Finland",,,,,,,,,Finland
Uptravi,EMEA/H/C/003774,Selexipag,selexipag,"Hypertension, Pulmonary",B01AC27,,Janssen Cilag International NV,7,11/05/2016,"Turnhoutseweg 30
B 2340 Beerse
Belgium","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Belgium
Sustiva,EMEA/H/C/000249,efavirenz,efavirenz,HIV Infections,J05AG03,,Bristol-Myers Squibb Pharma EEIG,43,27/05/1999,"Uxbridge Business Park
Sanderson Road
Uxbridge UB8 1DH
United Kingdom",,,,,,,,,United Kingdom
Kuvan,EMEA/H/C/000943,Sapropterin dihydrochloride,sapropterin,Phenylketonurias,A16AX07,,BioMarin International Limited,16,01/12/2008,"Shanbally
Ringaskiddy Cork Co.
Cork
Ireland",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Ireland
Bridion,EMEA/H/C/000885,sugammadex,sugammadex,Neuromuscular Blockade,V03AB35,,Merck Sharp & Dohme B.V.,14,24/07/2008,"Waarderweg 39
2031 BN Haarlem
The Netherlands",,,,,,,,,The Netherlands
Intrarosa,EMEA/H/C/004138,Prasterone,prasterone,Menopause,G03,,Endoceutics Limited,1,07/01/2018,"Salisbury House
London Wall
London EC2M 5PS
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Remsima,EMEA/H/C/002576,infliximab,infliximab,"Arthritis, Psoriatic
Spondylitis, Ankylosing
Colitis, Ulcerative
Psoriasis
Crohn Disease
Arthritis, Rheumatoid",L04AB02,,Celltrion Healthcare Hungary Kft.,13,09/09/2013,"1062 Budapest
Váci út 1-3. WestEnd Office Building B torony
Hungary","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Hungary
Inhixa,EMEA/H/C/004264,enoxaparin sodium,enoxaparin sodium,Venous Thromboembolism,B01AB05,,Techdow Europe AB,8,14/09/2016,"Kåbovägen 32
752 36 Uppsala
Sweden","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Sweden
Repaglinide Accord,EMEA/H/C/002318,repaglinide,repaglinide,"Diabetes Mellitus, Type 2",A10BX02,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Accord Healthcare Ltd,4,21/12/2011,"Sage House
319 Pinner Road
North Harrow
Middlesex
HA1 4HF
United Kingdom",,,,,,,,,United Kingdom
Atripla,EMEA/H/C/000797,"efavirenz
emtricitabine
tenofovir disoproxil fumarate",efavirenz / emtricitabine / tenofovir disoproxil,HIV Infections,J05AR06,,Bristol-Myers Squibb and Gilead Sciences Limited,29,12/12/2007,"Unit 13, Stillorgan Industrial Park
Blackrock
Co. Dublin
Ireland",,,,,,,,,Ireland
Zomarist,EMEA/H/C/001049,"vildagliptin
metformin hydrochloride",vildagliptin / metformin,"Diabetes Mellitus, Type 2",A10BD08,,Novartis Europharm Limited ,17,30/11/2008,"Elm Park, Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Ecansya (previously Capecitabine Krka),EMEA/H/C/002605,capecitabine,capecitabine,"Colonic Neoplasms
Breast Neoplasms
Colorectal Neoplasms
Stomach Neoplasms",L01BC06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.","Krka, d.d., Novo mesto",9,19/04/2012,"Šmarješka cesta 6
8501 Novo mesto
Slovenia",,,,,,,,,Slovenia
Zoledronic acid Actavis,EMEA/H/C/002488,zoledronic acid monohydrate,zoledronic acid,"Fractures, Bone",M05BA08,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Actavis Group PTC ehf  ,11,19/04/2012,"Actavis Group PTC ehf
Reykjavíkurvegur 76 - 78
IS-220 Hafnarfjörður
Iceland",,,,,,,,,Iceland
Sirturo,EMEA/H/C/002614,bedaquiline fumarate,bedaquiline,"Tuberculosis, Multidrug-Resistant",J04A,,Janssen-Cilag International N.V.,14,04/03/2014,"Turnhoutseweg 30
B-2340 Beerse
Belgium","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,Belgium
Desloratadine Actavis,EMEA/H/C/002435,desloratadine,desloratadine,"Rhinitis, Allergic, Perennial
Urticaria
Rhinitis, Allergic, Seasonal",R06AX27,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Actavis Group PTC ehf,11,12/01/2012,"Reykjavíkurvegur 76 - 78
IS-220 Hafnarfjörður
Iceland",,,,,,,,,Iceland
Infanrix Hexa,EMEA/H/C/000296,"Diphtheria toxoid
tetanus toxoid
Bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin)
hepatitis B surface antigen
poliovirus (inactivated) (type-1 (Mahoney strain), type-2 (MEF-1 strain), type-3 (Saukett strain))
Haemophilus influenzae type-b polysaccharide","diphtheria (D), tetanus (T), pertussis (acellular, component) (Pa), hepatitis B (rDNA) (HBV), poliomyelitis (inactivated) (IPV) and Haemophilus influenzae type-b (Hib) conjugate vaccine (adsorbed)","Hepatitis B
Tetanus
Immunization
Meningitis, Haemophilus
Whooping Cough
Poliomyelitis
Diphtheria",J07CA09,,GlaxoSmithKline Biologicals S.A.,39,22/10/2000,"Rue de l'Institut, 89
B-1330 Rixensart
Belgium",,,,,,,,,Belgium
Duloxetine Mylan,EMEA/H/C/003981,duloxetine,duloxetine,"Neuralgia
Diabetic Neuropathies
Anxiety Disorders
Depressive Disorder, Major",N06AX21,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S.,7,18/06/2015,"117 Allée des Parcs
69800 Saint Priest
France",,,,,,,,,France
Exjade,EMEA/H/C/000670,deferasirox,deferasirox,"beta-Thalassemia
Iron Overload",V03AC03,,Novartis Europharm Limited,41,27/08/2006,"Elm Park
Merrion Road
Dublin 4
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Ireland
Vidaza,EMEA/H/C/000978,azacitidine,azacitidine,Myelodysplastic Syndromes,L01BC07,,Celgene Europe B.V. ,17,16/12/2008,"Celgene Europe B.V.
Winthontlaan 6 N
3526KV Utrecht
The Netherlands",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,The Netherlands
Daptomycin Hospira,EMEA/H/C/004310,daptomycin,daptomycin,"Soft Tissue Infections
Skin Diseases, Bacterial",J01XX09,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Hospira UK Limited,3,21/03/2017,"Horizon Honey Lane
Maidenhead
Hurley SL6 6RJ
United Kingdom",,,,,,,,,United Kingdom
Onpattro,EMEA/H/C/004699,patisiran sodium,patisiran,"Amyloidosis, Familial",N07,,Alnylam Netherlands B.V.,0,26/08/2018,"Strawinskylaan 3051 1077 ZX
Amsterdam
Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,The Netherlands
Capecitabine Accord,EMEA/H/C/002386,capecitabine,capecitabine,"Colonic Neoplasms
Breast Neoplasms
Colorectal Neoplasms
Stomach Neoplasms",L01BC06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Accord Healthcare Ltd,8,19/04/2012,"Accord Healthcare Limited
Sage House
319 Pinner Road
North Harrow
Middlesex
HA1 4HF
United Kingdom",,,,,,,,,United Kingdom
Rotarix,EMEA/H/C/000639,"human rotavirus, live attenuated","rotavirus vaccine, live, attenuated","Immunization
Rotavirus Infections",J07BH01,,GlaxoSmithKline Biologicals S.A.,28,20/02/2006,"Rue de l'Institut, 89
B-1330 Rixensart
Belgium",,,,,,,,,Belgium
Irbesartan Zentiva (previously Irbesartan Winthrop),EMEA/H/C/000785,irbesartan,irbesartan,Hypertension,C09CA04,,Zentiva k.s.,20,18/01/2007,"U kabelovny 130
Dolni Mecholupy
102 37 Prague 10
Czech Republic",,,,,,,,,Czech Republic
Baraclude,EMEA/H/C/000623,Entecavir,entecavir,"Hepatitis B, Chronic",J05AF10,,Bristol-Myers Squibb Pharma EEIG,23,25/06/2006,"Uxbridge Business Park
Sanderson Road
Uxbridge UB8 1DH
United Kingdom",,,,,,,,,United Kingdom
Herzuma,EMEA/H/C/002575,trastuzumab,trastuzumab,"Stomach Neoplasms
Breast Neoplasms",L01XC03,,Celltrion Healthcare Hungary Kft.,3,08/02/2018,"Vaci ut 1-3
WestEnd Office Building B torony
1062 Budapest
Hungary","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Hungary
Vyxeos,EMEA/H/C/004282,daunorubicin hydrochloride / cytarabine,daunorubicin / cytarabine,"Leukemia, Myeloid, Acute",L01XY01,,Jazz Pharmaceuticals Ireland Limited,0,22/08/2018,"Fifth Floor Waterloo Exchange
Waterloo Road
D04 E5W7
Dublin 4
Ireland",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Ireland
Opdivo,EMEA/H/C/003985,nivolumab,nivolumab,"Melanoma
Hodgkin Disease
Carcinoma, Renal Cell
Carcinoma, Non-Small-Cell Lung",L01XC,,Bristol-Myers Squibb Pharma EEIG,21,18/06/2015,"Uxbridge Business Park
Sanderson Road
Uxbridge UB8 1DH
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Truberzi,EMEA/H/C/004098,eluxadoline,eluxadoline,"Irritable Bowel Syndrome
Diarrhea",A07,,Allergan Pharmaceuticals International Limited,4,18/09/2016,"Clonshaugh Industrial Estate
Coolock
Dublin 17
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Ireland
Kisplyx,EMEA/H/C/004224,lenvatinib mesilate,lenvatinib,"Carcinoma, Renal Cell",L01XE29,,Eisai Europe Ltd,6,24/08/2016,"European Knowledge Centre
Mosquito Way
Hertfordshire
Hatfield AL10 9SN
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Cosentyx,EMEA/H/C/003729,Secukinumab,secukinumab,"Arthritis, Psoriatic
Psoriasis
Spondylitis, Ankylosing",L04AC10,,Novartis Europharm Limited,11,14/01/2015,"Elm Park
Merrion Road
Dublin 4
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Ireland
Lynparza,EMEA/H/C/003726,Olaparib,olaparib,Ovarian Neoplasms,L01,,AstraZeneca AB,5,15/12/2014,"SE-151 85 Södertälje
Sweden","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Sweden
Abilify Maintena,EMEA/H/C/002755,aripiprazole,aripiprazole,Schizophrenia,N05AX12,,Otsuka Pharmaceutical Netherlands B.V.,13,14/11/2013,"Herikerbergweg 292
1101 CT Amsterdam
Netherlands",,,,,,,,,The Netherlands
Prevenar 13,EMEA/H/C/001104,"pneumococcal polysaccharide serotype 1 / pneumococcal polysaccharide serotype 14 / pneumococcal polysaccharide serotype 18C / pneumococcal polysaccharide serotype 19A
pneumococcal polysaccharide serotype 19F / pneumococcal polysaccharide serotype 23F / pneumococcal polysaccharide serotype 3 / pneumococcal polysaccharide serotype 4
pneumococcal polysaccharide serotype 5
pneumococcal polysaccharide serotype 6A
pneumococcal polysaccharide serotype 6B / pneumococcal polysaccharide serotype 7F / pneumococcal polysaccharide serotype 9V protein","pneumococcal polysaccharide conjugate vaccine (13-valent, adsorbed)","Pneumococcal Infections
Immunization",J07AL02,,Pfizer Europe MA EEIG,31,08/12/2009,"Boulevard de la Plaine 17
1050 Bruxelles
Belgium",,,,,,,,,Belgium
